,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
0,a a,aa,oE; nE,ai,,,,,"wohl, gut, gern",0.5,,,,adjective,Sg.,1st,ADJ,a-a,𒀀 𒀀,False,0,False
1,h hi bat tin na,hibattinna,achE,Hipat,,-na;postp.gen,,,"Adjektivbildung zu dem Ortsnamen h.hi-ba-at,",1,,,,GN,,,ADJ,h.hi-bat-tin-na,𒀸 𒄭 𒁁 𒁷 𒈾,False,0,False
2,v ha ak qa man nu iš ši ya,haakqamannuis~s~iya,achE,hakamanušiya,,-š;op.loan,-ya;adj,,achämenidisch,1,,,,adjective,,,ADJ,v.ha-ak-qa-man-nu-iš-ši-ya,𒁹 𒄩 𒀝 𒋡 𒌋𒌋 𒉡 𒅖 𒅆 𒉿,False,0,False
3,am mín nu,amminnu,achE,aminu,,,,,selbig,1,,,,adjective,Sg.,1st,ADJ,am-mín-nu,𒄠 𒊩 𒉡,False,0,False
4,te man na na,demannana,achE,tema (?),,-na;postp.gen,,,abendlich,0.5,,,,adjective,,,ADJ,te-man?-na?-na,𒋼 𒌋𒌋 𒈾 𒈾,False,0,False
5,te na,dena,achE,te,,-na;postp.gen,,,"mild, süß",1,,,,noun,,,ADJ,te-na,𒋼 𒈾,False,0,False
6,lag gi ma na,laggimana,achE,laki-,,-ma;postp.loc,-na;postp.gen,,für ihre Reise,1,,,,noun,,,ADJ,lag-gi-ma-na,𒋃 𒄀 𒈠 𒈾,False,0,False
7,la gi,lagi,nE,laki-,,,,,"vorstoßend, uberquerend",1,,,,verb,,,ADJ,la-gi,𒆷 𒄀,False,0,False
8,la gi ik,lagiik,nE,laki-,,-k-;ii,,,angereist,0.5,,0.5,,verb,,,ADJ,la-gi-ik,𒆷 𒄀 𒅅,False,0,False
9,an nu kur ir na,annukurirna,nE,hanakir,,,-na;postp.gen,,aus Zinn,0.5,,,,noun,,,ADJ,[an]-nu-kur-ir-na,𒀭 𒉡 𒆳 𒅕 𒈾,False,0,False
10,ha na ak ki ir na,hanaakkiirna,nE,hanakir,,,-na;postp.gen,,aus Zinn,0.5,,,,noun,,,ADJ,ha-na-ak-[ki]-ir-na,𒄩 𒈾 𒀝 𒆠 𒅕 𒈾,False,0,False
11,an nu uk ir na,annuukirna,nE,hanakir,,,-na;postp.gen,,aus Zinn,0.5,,,,noun,,,ADJ,an-nu-uk-ir-na,𒀭 𒉡 𒊌 𒅕 𒈾,False,0,False
12,an nu uk ir ra ni,annuukirrani,nE,hanakir,,,-ni;postp.gen,,zinnern,0.5,,,,noun,,,ADJ,an-[nu-uk-ir]-ra-ni,𒀭 𒉡 𒊌 𒅕 𒊏 𒉌,False,0,False
