id_text,id_word,transliteration,lemma,morpheme1,morpheme2,morpheme3,base suffixes,base suffixes2
UntN TZ 1,UntN_TZ_1_00001,u2,u,,,,,
UntN TZ 1,UntN_TZ_1_00002,(m)un-taš-dingir-gal,Untash-Napirisha,,,,,
UntN TZ 1,UntN_TZ_1_00003,ša-ak,šak,,,,,
UntN TZ 1,UntN_TZ_1_00004,(md)hu-ban-nu-me-na-gi,Humban-umena,1sg.an,,,,
UntN TZ 1,UntN_TZ_1_00005,su-un-ki-ik,sunki,1sg.an,,,,
UntN TZ 1,UntN_TZ_1_00006,an-za-an,Anshan,,,,,
UntN TZ 1,UntN_TZ_1_00007,šu-šu-un-ka,Susa,,,,,
UntN TZ 1,UntN_TZ_1_00008,u2-pa-at,upat,,,,,
UntN TZ 1,UntN_TZ_1_00009,la-an-si-ti-ip-pa,lansiti,3pl.an,,,,
UntN TZ 1,UntN_TZ_1_00010,te-pu-uh,tepu-,1sg.vb,,,,
UntN TZ 1,UntN_TZ_1_00011,ul-hi,ulhi,,,,,
UntN TZ 1,UntN_TZ_1_00012,i,i,,,,,
UntN TZ 1,UntN_TZ_1_00013,a-ha-a,aha,,,,,
UntN TZ 1,UntN_TZ_1_00014,ku-ši-ih,kuši-,1sg.vb,,,,
UntN TZ 1,UntN_TZ_1_00015,dingir-gal,Napirisha,,,,,
UntN TZ 1,UntN_TZ_1_00016,a-ak,ak,,,,,
UntN TZ 1,UntN_TZ_1_00017,(d)in-šu-uš-na-ak,Inshushinak,,,,,
UntN TZ 1,UntN_TZ_1_00018,si-ia-an-ku-uk-pa,Sian.kuk,3pl.an,,,,
UntN TZ 1,UntN_TZ_1_00019,a-pu,ap,,,,,
UntN TZ 1,UntN_TZ_1_00020,u2,u,,,,,
UntN TZ 1,UntN_TZ_1_00021,du-ni-ih,tuni-,1sg.vb,,,,
UntN TZ 1,UntN_TZ_1_00022,hu-ut-tak-ha-li-ik,hutak.halik,,,,II,
UntN TZ 1,UntN_TZ_1_00023,u2-me,u,3sg.inan1,,,,
UntN TZ 1,UntN_TZ_1_00024,dingir-gal,Napirisha,,,,,
UntN TZ 1,UntN_TZ_1_00025,(d)in-šu-uš-na-ak,Inshushinak,,,,,
UntN TZ 1,UntN_TZ_1_00026,si-ia-an-ku-uk-pa,Sian.kuk,3pl.an,,,,
UntN TZ 1,UntN_TZ_1_00027,li-na,lina,,,,,
UntN TZ 1,UntN_TZ_1_00028,te-la-ak-ni,tela-,II,opt2,,,
UntN TZ 1,UntN_TZ_1_00029,si-ia-an,sian,,,,,
UntN TZ 1,UntN_TZ_1_00030,ap-pa,apa,,,,,
UntN TZ 1,UntN_TZ_1_00031,ku-ši-ih-ma,kuši-,1sg.vb,postp.loc,,,
UntN TZ 1,UntN_TZ_1_00032,pi-el,pel,,,,,
UntN TZ 1,UntN_TZ_1_00033,ki-it-ti-im-ma,kitin,postp.loc,,,3sg.inan2,
UntN TZ 1,UntN_TZ_1_00034,na-a,nan,,,,,
UntN TZ 1,UntN_TZ_1_00035,me-lu-uk-ra,meluk,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00036,DINGIR-GAL,Napirisha,,,,,
UntN TZ 1,UntN_TZ_1_00037,a-ak,ak,,,,,
UntN TZ 1,UntN_TZ_1_00038,(d)in-šu-uš-na-ak,Inshushinak,,,,,
UntN TZ 1,UntN_TZ_1_00039,si-ia-an-ku-uk-pa,Sian.kuk,3pl.an,,,,
UntN TZ 1,UntN_TZ_1_00040,gi-ri-na,giri,gen,,,,
UntN TZ 1,UntN_TZ_1_00041,hi-ih-li,hi-,1sg.vb,opt3,,,
UntN TZ 1,UntN_TZ_1_00042,su-un-ki-ir,sunki,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00043,pi-ti-ir,piti,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00044,a-ak,ak,,,,,
UntN TZ 1,UntN_TZ_1_00045,ta-ri-ir,tari,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00046,ak-ka,aka,,,,,
UntN TZ 1,UntN_TZ_1_00047,me-el-ka-an-ra,melka-,III,3sg.an,,,
UntN TZ 1,UntN_TZ_1_00048,ha-at-ta-an-ra,hata-,III,3sg.an,,,
UntN TZ 1,UntN_TZ_1_00049,a-ak,ak,,,,,
UntN TZ 1,UntN_TZ_1_00050,la-an-si-ti-e,lansiti,3sg.poss,,,,
UntN TZ 1,UntN_TZ_1_00051,du-un-ra,tu-,III,3sg.an,,,
UntN TZ 1,UntN_TZ_1_00052,a-ak,ak,,,,,
UntN TZ 1,UntN_TZ_1_00053,hi-iš,hiš,,,,,
UntN TZ 1,UntN_TZ_1_00054,(m)un-taš-dingir-gal-me,Untash-Napirisha,3sg.inan1,,,,
UntN TZ 1,UntN_TZ_1_00055,su-ku-ša-ak,sukuša- (?),II,,,,
UntN TZ 1,UntN_TZ_1_00056,i-me-ni,i,3sg.inan1,postp.gen2,,,
UntN TZ 1,UntN_TZ_1_00057,a-ha-ar,aha,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00058,ta-an-ra,ta-,III,3sg.an,,,
UntN TZ 1,UntN_TZ_1_00059,ha-at,hat,,,,,
UntN TZ 1,UntN_TZ_1_00060,dingir-gal,Napirisha,,,,,
UntN TZ 1,UntN_TZ_1_00061,(d)in-šu-uš-na-ak,Inshushinak,,,,,
UntN TZ 1,UntN_TZ_1_00062,a-ak,ak,,,,,
UntN TZ 1,UntN_TZ_1_00063,(d)ki-ri-ri-ša,Kiririsha,,,,,
UntN TZ 1,UntN_TZ_1_00064,si-ia-an-ku-uk-pa-ri,Sian.kuk,3sg.an,3pl.an,,,
UntN TZ 1,UntN_TZ_1_00065,uk-ku-ri,uku,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00066,ir,i,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00067,ta-ak-ni,ta-,II,opt2,,,
UntN TZ 1,UntN_TZ_1_00068,(d)na-ah-hu-un-te-ir,Nahunte,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00069,ša-ra-ra,šara,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00070,pa-ar,par,,,,,
UntN TZ 1,UntN_TZ_1_00071,a-ni,ani,,,,,
UntN TZ 1,UntN_TZ_1_00072,i,i,,,,,
UntN TZ 1,UntN_TZ_1_00073,ku-tu4-un,kutu-,III,,,,
UntN TZ 1,UntN_TZ_1_00074,su-un-ki-ir,sunki,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00075,ha-ta-am-ti-ir,Hatamti,3sg.an,,,,
UntN TZ 1,UntN_TZ_1_00076,an-ka,anka,,,,,
UntN TZ 1,UntN_TZ_1_00077,ru-ri-na,ruri-,III,,,,
UntN TZ 1,UntN_TZ_1_00078,a-ak,ak,,,,,
UntN TZ 1,UntN_TZ_1_00079,mi-ši-ma-na,miši-,3sg.an,aux,III,,
