,unmatched_sign,use,alt
2,bán,𒑏,
117,àm,𒀀𒀭,
124,íd,𒀀𒇉,
121,ìl,𒀭,
62,nitá,𒀴,
119,èr,𒀴,
122,ìr,𒀴,
58,múd,𒁁,
68,pát,𒁁,
69,pì,𒁁,
3,bár,𒁈,
41,kás,𒁉,
71,pí,𒁉,
92,sír,𒁍,
87,sá,𒁲,
16,eš4,𒁹,
97,táš,𒁹,
100,tù,𒁺,
133,šáh,𒂄,
24,gín,𒂆,
15,dúr,𒂉,
5,bìr,𒂟,
72,pír,𒂟,𒎕
90,sìr,𒂡,
1,bàd,𒂦,
19,gá,𒂷,
96,táh,𒃮,
38,kál,𒃲,
78,ráb,𒃲,
80,ráp,𒃲,
21,gán,𒃷,
40,kán,𒃷,
64,níg,𒃻,
18,gàr,𒃼,
75,qì,𒄀,
25,gír,𒄈,
95,táb,𒄉,
23,gìr,𒄊,
26,gú,𒄘,
35,iddina,𒄘𒃼,
103,túr,𒄙,
33,hír,𒄯,
118,àr,𒄯,
70,pìr,𒄵,
20,gál,𒅅,
50,lì,𒅆,
73,pù,𒅤,
8,dà,𒆕,
13,dù,𒆕,
84,rú,𒆕,
39,kám,𒆚,
74,qé,𒆠,
76,qí,𒆠,
52,líl,𒆤,
77,qú,𒆪,
42,kù,𒆬,
126,ùh,𒆵,
98,tíl,𒇯,
48,lá,𒇲,
49,lál,𒇳,
53,lú,𒇽,
27,gúm,𒈝,
66,núm,𒈝,
54,má,𒈣,
55,máš,𒈧,
135,ṣíl,𒈪,
113,zìr,𒈲,
57,mùš,𒈹,
59,múš,𒈽,
65,nú,𒈿,
91,sín,𒉆,
6,bí,𒉈,
10,dè,𒉈,
43,kúm,𒉈,
36,ià,𒉌,
51,lí,𒉌,
110,yà,𒉌,
89,sìp,𒉺𒇻,
4,bì,𒉿,
63,nè,𒊊,
44,kúš,𒊨,
56,mín,𒊩,
22,géme,𒊩𒆳,
129,šab6,𒊸,
130,šap6,𒊸,
134,šár,𒊹,
17,gibíl,𒋙𒀾,
132,šir8,𒋤,
9,dá,𒋫,
47,làl,𒋭,
94,tà,𒋳,
112,zìl,𒋻,
12,dì,𒋾,
34,hú,𒌅,
102,túg,𒌆,
14,dúk,𒌇,
81,ráš,𒌇,
123,íb,𒌈,
125,íp,𒌈,
7,bír,𒌓,
101,tú,𒌓,
127,úh,𒌔,
11,dé,𒌤,
99,tíš,𒌨,
128,úr,𒌫,
82,ré,𒌷,
83,rí,𒌷,
105,uruxa,𒌸,
120,érin,𒌿,
114,zí,𒍢,
115,zíd,𒍥,
88,sìb,𒍦,
116,zíz,𒍩,
37,kap0,𒍯,
0,X,,
28,h,,
29,ham,,
30,hh,,
31,hhh,,
32,hw,,
45,lg,,
46,lugàl,,
60,nahiti,,
61,nap4,,
67,pi+pír,,
79,rák,,
85,sap6,,
86,sir99,,
93,t,,
104,uballiṭ,,
106,v,,
107,wel,,
108,xxx,,
109,y,,
111,yá,,
131,šimut,,
